Date AD,Date BS,Stations,Minimun Temprature,Maximum Temprature,Rainfall
2012/1/7,2068-09-23,Taplejung,14.5,2.8,0
2012/1/7,2068-09-23,Dhankuta,4.7,0,0
2012/1/7,2068-09-23,Biratnagar,24.4,10.5,0
2012/1/7,2068-09-23,Jiri,13.1,-2.5,0.0*
2012/1/8,2068-09-24,Dadeldhura,9.3,1.2,0.4
2012/1/8,2068-09-24,Dipayal,17.2,7.5,0
2012/1/8,2068-09-24,Dhangadi,21,9,10.6
2012/1/8,2068-09-24,Birendranagar,18.5,6,0
2012/1/8,2068-09-24,Nepalgunj,22,9.4,0
2012/1/8,2068-09-24,Jumla,8.5,-4,1
2012/1/8,2068-09-24,Pokhara,19.2,5,0
2012/1/8,2068-09-24,Bhairahawa,21.8,10.4,0
2012/1/8,2068-09-24,Simra,22.8,12.7,0
2012/1/8,2068-09-24,Kathmandu,15.5,3.4,0
2012/1/8,2068-09-24,Okhaldhunga,11.4,4,0
2012/1/8,2068-09-24,Taplejung,11.1,3.5,0
2012/1/8,2068-09-24,Dhankuta,20.2,5.6,0
2012/1/8,2068-09-24,Biratnagar,24.5,9.5,0
2012/1/8,2068-09-24,Jiri,13,-2,0.0*
2012/1/9,2068-09-25,Dadeldhura,9.2,0.8,6.4
2012/1/9,2068-09-25,Dipayal,12.7,6.8,9.7
2012/1/9,2068-09-25,Dhangadi,,11.2,
2012/1/9,2068-09-25,Nepalgunj,18.2,12.8,9.2
2012/1/9,2068-09-25,Jumla,,-5.8,
2012/1/9,2068-09-25,Pokhara,,6.5,
2012/1/9,2068-09-25,Bhairahawa,16.7,13.2,2.3
2012/1/9,2068-09-25,Simra,,10.5,
2012/1/9,2068-09-25,Kathmandu,17.2,4,6.1
2012/1/9,2068-09-25,Okhaldhunga,9.2,4,0
2012/1/9,2068-09-25,Taplejung,9.1,3,0
2012/1/9,2068-09-25,Dhankuta,16,,0
2012/1/9,2068-09-25,Biratnagar,,10.4,
2012/1/9,2068-09-25,Jiri,11.5,-1.5,0.0*
2012/1/10,2068-09-26,Dadeldhura,6.4,0,0
2012/1/10,2068-09-26,Dipayal,20.4,7.8,0
2012/1/10,2068-09-26,Dhangadi,16.1,8.4,0
2012/1/10,2068-09-26,Birendranagar,19.6,6.5,0
2012/1/10,2068-09-26,Nepalgunj,13.6,10.4,0
2012/1/10,2068-09-26,Jumla,2.8,-10.3,7.1
2012/1/10,2068-09-26,Pokhara,18.8,4.6,0
2012/1/10,2068-09-26,Bhairahawa,16.7,9.2,0
2012/1/10,2068-09-26,Simra,22,9,0
2012/1/10,2068-09-26,Kathmandu,15.4,4.7,0
2012/1/10,2068-09-26,Okhaldhunga,15.5,4,0
2012/1/10,2068-09-26,Taplejung,15.2,2.2,0
2012/1/10,2068-09-26,Dhankuta,20.9,5,0
2012/1/10,2068-09-26,Biratnagar,23.8,20.7,0
2012/1/10,2068-09-26,Jiri,13,-1.5,0.0*
2012/1/11,2068-09-27,Dadeldhura,9.9,,1.2
2012/1/11,2068-09-27,Dipayal,22.3,7.6,0
2012/1/11,2068-09-27,Dhangadi,15.3,8.5,0
